,Quarter,Time,Tm,Detail,DEN,NOR
0,1.0,3:23,Broncos,Mike Anderson 13 yard rush (Jason Elam kick),7,0
1,1.0,0:35,Saints,Andrew Glover 19 yard pass from Aaron Brooks (Doug Brien kick),7,7
2,2.0,9:45,Broncos,Mike Anderson 5 yard rush (Jason Elam kick),14,7
3,2.0,6:44,Saints,Doug Brien 30 yard field goal,14,10
4,2.0,5:54,Broncos,Dwayne Carswell 43 yard pass from Gus Frerotte (Jason Elam kick),21,10
5,2.0,2:29,Broncos,Mike Anderson 7 yard rush (Jason Elam kick),28,10
6,2.0,0:00,Saints,Doug Brien 19 yard field goal,28,13
7,3.0,10:04,Broncos,Jason Elam 22 yard field goal,31,13
8,3.0,4:59,Saints,Doug Brien 42 yard field goal,31,16
9,4.0,8:19,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),38,16
10,4.0,0:45,Saints,Willie Jackson 28 yard pass from Aaron Brooks (Doug Brien kick),38,23
