,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,9:11,Panthers,John Kasay 39 yard field goal,0,3
1,2.0,14:58,Saints,Mike Karney 1 yard rush (Taylor Mehlhaff kick),7,3
2,2.0,9:58,Panthers,Jonathan Stewart 18 yard rush (John Kasay kick),7,10
3,2.0,3:28,Panthers,John Kasay 48 yard field goal,7,13
4,3.0,12:39,Panthers,Steve Smith 39 yard pass from Jake Delhomme (John Kasay kick),7,20
5,3.0,3:58,Panthers,DeAngelo Williams 4 yard pass from Jake Delhomme (John Kasay kick),7,27
6,4.0,1:57,Panthers,John Kasay 28 yard field goal,7,30
