,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,12:03,Redskins,Ryan Torain 12 yard rush (Graham Gano kick),7,0
1,1.0,4:47,Redskins,Chris Cooley 31 yard pass from Donovan McNabb (Graham Gano kick),14,0
2,2.0,14:55,Eagles,David Akers 49 yard field goal,14,3
3,2.0,9:11,Redskins,Graham Gano 26 yard field goal,17,3
4,2.0,0:19,Eagles,David Akers 23 yard field goal,17,6
5,4.0,4:10,Eagles,Brent Celek 5 yard pass from Kevin Kolb (pass failed),17,12
