,Quarter,Tm,Detail,PIT,PHI
0,3,Steelers,Curt Sandig 39 yard rush (Armand Niccolai kick),7,0
1,4,Steelers,Dick Riffle 1 yard rush (Armand Niccolai kick),14,0
