,Quarter,Tm,Detail,BKN,DET
0,1.0,Dodgers,Merl Condit 13 yard rush (Merl Condit kick),7,0
1,1.0,Dodgers,Merl Condit 40 yard interception return (Dean McAdams kick),14,0
2,2.0,Lions,Emil Banjavic 5 yard pass from Ned Mathews (Augie Lio kick),14,7
3,3.0,Dodgers,Merl Condit 45 yard rush (Dean McAdams kick),21,7
4,4.0,Dodgers,Ed Rucinski 20 yard pass from Dean McAdams (Thurmon Jones kick),28,7
