,Quarter,Time,Tm,Detail,SDG,CAR
0,1.0,8:21,Panthers,John Kasay 28 yard field goal,0,3
1,1.0,3:28,Panthers,John Kasay 21 yard field goal,0,6
2,3.0,8:13,Chargers,LaDainian Tomlinson 8 yard rush (Nate Kaeding kick),7,6
3,3.0,2:36,Chargers,Nate Kaeding 44 yard field goal,10,6
4,4.0,1:42,Chargers,Jesse Chatman 5 yard rush (Nate Kaeding kick),17,6
