,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Renaldo Nehemiah 59 yard pass from Joe Montana (Ray Wersching kick),7,0
1,1.0,49ers,John Frank 1 yard pass from Joe Montana (Ray Wersching kick),14,0
2,1.0,49ers,Dana McLemore 79 yard punt return (Ray Wersching kick),21,0
3,1.0,Giants,Ali Haji-Sheikh 20 yard field goal,21,3
4,2.0,49ers,Roger Craig 8 yard pass from Joe Montana (Ray Wersching kick),28,3
5,3.0,49ers,Ray Wersching 37 yard field goal,31,3
6,4.0,Giants,Butch Woolfolk 1 yard rush (Ali Haji-Sheikh kick),31,10
