,Quarter,Tm,Detail,IND,NYJ
0,1.0,Jets,Pat Leahy 22 yard field goal,0,3
1,1.0,Jets,Pat Leahy 35 yard field goal,0,6
2,2.0,Jets,Kurt Sohn 39 yard pass from Ken O'Brien,0,12
3,2.0,Colts,Raul Allegre 40 yard field goal,3,12
4,2.0,Jets,Pat Leahy 48 yard field goal,3,15
5,2.0,Colts,Ray Butler 72 yard pass from Mike Pagel (Raul Allegre kick),10,15
6,2.0,Jets,Pat Leahy 45 yard field goal,10,18
7,3.0,Colts,Pat Beach 16 yard pass from Mike Pagel (Raul Allegre kick),17,18
8,3.0,Jets,Tony Paige 1 yard rush (Pat Leahy kick),17,25
9,4.0,Colts,Raul Allegre 29 yard field goal,20,25
