,Quarter,Time,Tm,Detail,DAL,SFO
0,1.0,6:41,49ers,Jeremy Kerley 33 yard pass from Blaine Gabbert (Phil Dawson kick),0,7
1,2.0,13:55,49ers,Carlos Hyde 3 yard rush (Phil Dawson kick),0,14
2,2.0,2:58,Cowboys,Terrance Williams 20 yard pass from Dak Prescott (Dan Bailey kick),7,14
3,2.0,0:12,Cowboys,Brice Butler 4 yard pass from Dak Prescott (Dan Bailey kick),14,14
4,3.0,12:18,49ers,Phil Dawson 36 yard field goal,14,17
5,3.0,1:08,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),21,17
6,4.0,4:11,Cowboys,Dan Bailey 22 yard field goal,24,17
