,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Ozzie Newsome 19 yard pass from Brian Sipe (Matt Bahr kick),0,7
1,2.0,Eagles,Tony Franklin 47 yard field goal,3,7
2,4.0,Browns,Charles White 3 yard rush (Matt Bahr kick),3,14
3,4.0,Eagles,Ron Smith 41 yard pass from Ron Jaworski (Tony Franklin kick),10,14
4,4.0,Eagles,Billy Campfield 11 yard pass from Ron Jaworski (Tony Franklin kick),17,14
5,4.0,Browns,Ozzie Newsome 34 yard pass from Brian Sipe (Matt Bahr kick),17,21
6,4.0,Eagles,Leroy Harris 2 yard rush (Tony Franklin kick),24,21
