,Quarter,Time,Tm,Detail,DEN,KAN
0,1,,Broncos,Reggie Rivers 1 yard rush (Jason Elam kick),7,0
1,2,,Chiefs,Lin Elliott 22 yard field goal,7,3
2,3,,Broncos,Shannon Sharpe 24 yard pass from John Elway (Jason Elam kick),14,3
3,3,,Chiefs,Marcus Allen 1 yard rush (run failed),14,9
4,4,,Broncos,Jason Elam 34 yard field goal,17,9
5,4,,Chiefs,Willie Davis 62 yard pass from Steve Bono (Willie Davis pass from Steve Bono),17,17
6,OT,,Broncos,Jason Elam 34 yard field goal,20,17
