,Quarter,Tm,Detail,STL,CLE
0,1,Cardinals,Ottis Anderson 4 yard rush (Neil O'Donoghue kick),7,0
1,2,Browns,Matt Bahr 33 yard field goal,7,3
2,3,Cardinals,Neil O'Donoghue 37 yard field goal,10,3
3,4,Cardinals,Lionel Washington 48 yard interception return (Neil O'Donoghue kick),17,3
4,4,Browns,Kevin Mack 13 yard rush (Matt Bahr kick),17,10
5,4,Browns,Harry Holt 17 yard pass from Gary Danielson (Matt Bahr kick),17,17
6,4,Browns,Ozzie Newsome 25 yard pass from Gary Danielson (Matt Bahr kick),17,24
7,4,Cardinals,Pat Tilley 5 yard pass from Neil Lomax (Neil O'Donoghue kick),24,24
8,OT,Cardinals,Neil O'Donoghue 35 yard field goal,27,24
