,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Benny Ricardo 19 yard field goal,0,3
1,1.0,49ers,Jack Steptoe 35 yard pass from Steve DeBerg (Ray Wersching kick),7,3
2,2.0,Lions,Benny Ricardo 40 yard field goal,7,6
3,2.0,Lions,Dexter Bussey 4 yard rush (Benny Ricardo kick),7,13
4,2.0,Lions,Dexter Bussey 1 yard rush (Benny Ricardo kick),7,20
5,3.0,Lions,Jimmy Allen 64 yard defensive fumble return (Benny Ricardo kick),7,27
6,4.0,49ers,Freddie Solomon 11 yard rush (Ray Wersching kick),14,27
7,4.0,Lions,Benny Ricardo 31 yard field goal,14,30
8,4.0,Lions,Benny Ricardo 22 yard field goal,14,33
