,Quarter,Time,Tm,Detail,ARI,SDG
0,1.0,1:27,Chargers,Wade Richey 26 yard field goal,0,3
1,2.0,2:04,Cardinals,David Boston 37 yard pass from Jake Plummer (Bill Gramatica kick),7,3
2,3.0,10:07,Cardinals,Bill Gramatica 18 yard field goal,10,3
3,4.0,14:19,Chargers,Curtis Conway 6 yard pass from Doug Flutie (Wade Richey kick),10,10
4,4.0,6:00,Cardinals,Michael Pittman 1 yard rush (Bill Gramatica kick),17,10
5,4.0,1:54,Chargers,Jeff Graham 28 yard pass from Doug Flutie (Wade Richey kick),17,17
6,4.0,0:01,Cardinals,Bill Gramatica 42 yard field goal,20,17
