,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Tony Franklin 35 yard field goal,0,3
1,2.0,Falcons,Steve Bartkowski 1 yard rush (Tim Mazzetti kick),7,3
2,2.0,Eagles,Ron Jaworski 3 yard rush (Tony Franklin kick),7,10
3,4.0,Falcons,Wallace Francis 12 yard pass from Steve Bartkowski (Tim Mazzetti kick),14,10
