,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Phil Epps 21 yard pass from Lynn Dickey (Al Del Greco kick),7,0
1,1.0,Packers,Al Del Greco 30 yard field goal,10,0
2,2.0,Packers,Eddie Lee Ivery 5 yard rush (Al Del Greco kick),17,0
3,2.0,Packers,Ed West 2 yard pass from Lynn Dickey (Al Del Greco kick),24,0
4,2.0,Packers,Lynn Dickey 1 yard rush (Al Del Greco kick),31,0
5,3.0,Vikings,Darrin Nelson 4 yard rush (Jan Stenerud kick),31,7
6,3.0,Packers,James Lofton 26 yard pass from Rich Campbell (Al Del Greco kick),38,7
7,4.0,Vikings,Willie Teal 53 yard interception return (Jan Stenerud kick),38,14
