,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,,Bears,Curtis Conway 19 yard pass from Dave Krieg (Jeff Jaeger kick),0,7
1,1.0,,Lions,Scott Mitchell 1 yard rush (Jason Hanson kick),7,7
2,1.0,,Bears,Mike Dulaney 1 yard pass from Dave Krieg (Jeff Jaeger kick),7,14
3,1.0,,Lions,Barry Sanders 22 yard rush (Jason Hanson kick),14,14
4,2.0,,Bears,Bobby Engram 5 yard pass from Dave Krieg (Jeff Jaeger kick),14,21
5,2.0,,Bears,Jeff Jaeger 42 yard field goal,14,24
6,3.0,,Bears,Raymont Harris 3 yard rush (Jeff Jaeger kick),14,31
