,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Emmitt Smith 5 yard rush (Lin Elliott kick),7,0
1,1.0,Cowboys,Robert Williams 3 yard blocked punt return (Lin Elliott kick),14,0
2,1.0,Cowboys,Lin Elliott 39 yard field goal,17,0
3,2.0,Cowboys,Lin Elliott 35 yard field goal,20,0
4,2.0,Cowboys,Jay Novacek 2 yard pass from Troy Aikman (Lin Elliott kick),27,0
5,3.0,Cowboys,Michael Irvin 27 yard pass from Troy Aikman (Lin Elliott kick),34,0
6,3.0,Giants,Rodney Hampton 5 yard rush (Matt Bahr kick),34,7
7,3.0,Giants,Jarrod Bunch 1 yard pass from Phil Simms (Matt Bahr kick),34,14
8,4.0,Giants,Stephen Baker 6 yard pass from Phil Simms (Matt Bahr kick),34,21
9,4.0,Giants,Howard Cross 2 yard pass from Phil Simms (Matt Bahr kick),34,28
