,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,John Stallworth 11 yard pass from Terry Bradshaw (Matt Bahr kick),0,7
1,2.0,Redskins,John Riggins 4 yard rush (Mark Moseley kick),7,7
2,2.0,Steelers,Matt Bahr 21 yard field goal,7,10
3,2.0,Steelers,Bennie Cunningham 16 yard pass from Terry Bradshaw (Matt Bahr kick),7,17
4,2.0,Steelers,Randy Grossman 4 yard pass from Terry Bradshaw (Matt Bahr kick),7,24
5,3.0,Steelers,John Stallworth 65 yard pass from Terry Bradshaw (Matt Bahr kick),7,31
6,4.0,Steelers,Rick Moser 2 yard rush (Matt Bahr kick),7,38
