,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,10:32,Colts,Adam Vinatieri 46 yard field goal,0,3
1,1.0,4:17,Jaguars,Josh Scobee 28 yard field goal,3,3
2,2.0,0:12,Colts,Adam Vinatieri 20 yard field goal,3,6
3,3.0,8:31,Colts,Trent Richardson 1 yard rush (Adam Vinatieri kick),3,13
4,3.0,6:08,Colts,T.Y. Hilton 73 yard pass from Andrew Luck (Adam Vinatieri kick),3,20
5,4.0,14:52,Colts,Adam Vinatieri 32 yard field goal,3,23
