,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Tobin Rote 3 yard rush (Jim Martin kick),7,0
1,2.0,49ers,Clyde Conner 4 yard pass from John Brodie (Gordie Soltau kick),7,7
2,2.0,49ers,Gordie Soltau 13 yard field goal,7,10
3,2.0,49ers,Joe Perry 73 yard rush (Gordie Soltau kick),7,17
4,3.0,Lions,Tobin Rote 2 yard rush (Jim Martin kick),14,17
5,3.0,Lions,Jim Doran 18 yard pass from Tobin Rote (Jim Martin kick),21,17
6,4.0,49ers,Hugh McElhenny 32 yard pass from Y.A. Tittle (Gordie Soltau kick),21,24
