,Quarter,Tm,Detail,SDG,RAI
0,1.0,Chargers,John Carney 19 yard field goal,3,0
1,2.0,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),3,7
2,2.0,Chargers,Craig McEwen 7 yard pass from John Friesz,9,7
3,4.0,Raiders,Jeff Jaeger 45 yard field goal,9,10
4,4.0,Chargers,John Carney 21 yard field goal,12,10
5,4.0,Raiders,Steve Smith 17 yard pass from Jay Schroeder (Jeff Jaeger kick),12,17
