,Quarter,Tm,Detail,NOR,HOU
0,1.0,Saints,Hokie Gajan 15 yard rush (Morten Andersen kick),7,0
1,1.0,Saints,Frank Wattelet 35 yard interception return (Morten Andersen kick),14,0
2,2.0,Saints,Morten Andersen 23 yard field goal,17,0
3,3.0,Oilers,Florian Kempf 25 yard field goal,17,3
4,4.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),17,10
5,4.0,Saints,Morten Andersen 27 yard field goal,20,10
6,4.0,Saints,Hokie Gajan 37 yard rush (Morten Andersen kick),27,10
