,Quarter,Tm,Detail,MIN,WAS
0,2.0,Vikings,Scottie Graham 1 yard rush (Fuad Reveiz kick),7,0
1,2.0,Redskins,Chip Lohmiller 37 yard field goal,7,3
2,3.0,Redskins,Chip Lohmiller 35 yard field goal,7,6
3,3.0,Vikings,Anthony Carter 11 yard pass from Jim McMahon (Fuad Reveiz kick),14,6
4,4.0,Redskins,Chip Lohmiller 34 yard field goal,14,9
