,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Gary Anderson 42 yard field goal,0,3
1,2.0,Steelers,Merril Hoge 8 yard rush (Gary Anderson kick),0,10
2,2.0,Patriots,Jason Staurovsky 49 yard field goal,3,10
3,3.0,Steelers,Eric Green 14 yard pass from Bubby Brister (Gary Anderson kick),3,17
4,4.0,Steelers,Merril Hoge 41 yard rush (Gary Anderson kick),3,24
