,Quarter,Tm,Detail,RAM,CRD
0,1.0,Cardinals,Elmer Angsman 5 yard rush (Pat Harder kick),0,7
1,2.0,Rams,Dick Hoerner 11 yard rush (Bob Waterfield kick),7,7
2,2.0,Rams,Tom Fears 13 yard pass from Bob Waterfield (Bob Waterfield kick),14,7
3,2.0,Cardinals,Mal Kutner 8 yard pass from Jim Hardy (Pat Harder kick),14,14
4,3.0,Cardinals,Charley Trippi 6 yard pass from Jim Hardy (Pat Harder kick),14,21
5,3.0,Cardinals,Jim Hardy 4 yard rush (Pat Harder kick),14,28
6,4.0,Rams,Dick Hoerner 3 yard rush (Bob Waterfield kick),21,28
7,4.0,Rams,George Sims 12 yard interception return (Bob Waterfield kick),28,28
