,Quarter,Tm,Detail,NYJ,DAL
0,1.0,Cowboys,Ike Thomas 101 yard kickoff return (Mike Clark kick),0,7
1,1.0,Cowboys,Calvin Hill 27 yard pass from Roger Staubach (Mike Clark kick),0,14
2,1.0,Cowboys,Calvin Hill 27 yard pass from Roger Staubach (Mike Clark kick),0,21
3,1.0,Cowboys,Duane Thomas 3 yard rush (Mike Clark kick),0,28
4,2.0,Cowboys,Calvin Hill 9 yard rush (Mike Clark kick),0,35
5,2.0,Jets,Bobby Howfield 35 yard field goal,3,35
6,2.0,Cowboys,Mike Clark 45 yard field goal,3,38
7,3.0,Cowboys,Duane Thomas 18 yard pass from Roger Staubach (Mike Clark kick),3,45
8,3.0,Jets,George Nock 1 yard pass from Bob Davis (Bobby Howfield kick),10,45
9,4.0,Cowboys,Lance Alworth 20 yard pass from Craig Morton (Mike Clark kick),10,52
