,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),0,7
1,2.0,Cowboys,Tony Dorsett 4 yard rush (Rafael Septien kick),7,7
2,2.0,Cowboys,Rafael Septien 28 yard field goal,10,7
3,2.0,Cardinals,Neil O'Donoghue 42 yard field goal,10,10
4,3.0,Cardinals,Pat Tilley 42 yard pass from Jim Hart (Neil O'Donoghue kick),10,17
5,3.0,Cowboys,Rafael Septien 32 yard field goal,13,17
6,4.0,Cowboys,Dennis Thurman 78 yard interception return (Rafael Septien kick),20,17
7,4.0,Cardinals,Mel Gray 34 yard pass from Jim Hart (Neil O'Donoghue kick),20,24
8,4.0,Cowboys,Tony Hill 28 yard pass from Danny White (Rafael Septien kick),27,24
