,Quarter,Tm,Detail,PIT,CRD
0,2.0,Steelers,Val Jansante 46 yard pass from Joe Geri (Joe Geri kick),7,0
1,3.0,Cardinals,Billy Cross 1 yard rush (Cliff Patton kick),7,7
2,3.0,Cardinals,Billy Cross 7 yard rush (Cliff Patton kick),7,14
3,4.0,Steelers,Joe Geri 49 yard pass from Lynn Chandnois (Joe Geri kick),14,14
4,4.0,Steelers,Elbie Nickel 33 yard pass from Chuck Ortmann (Joe Geri kick),21,14
5,4.0,Steelers,Jack Butler 52 yard interception return (Joe Geri run),28,14
