,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,,Bengals,Marco Battaglia 8 yard pass from Boomer Esiason (Doug Pelfrey kick),0,7
1,3.0,,Ravens,Derrick Alexander 83 yard pass from Eric Zeier (Matt Stover kick),7,7
2,3.0,,Bengals,Doug Pelfrey 44 yard field goal,7,10
3,4.0,,Bengals,Darnay Scott 77 yard pass from Boomer Esiason,7,16
4,4.0,,Ravens,Eric Green 12 yard pass from Eric Zeier (Matt Stover kick),14,16
