,Quarter,Tm,Detail,TAM,KAN
0,1.0,Chiefs,Ted McKnight 8 yard rush (Nick Lowery kick),0,7
1,1.0,Buccaneers,James Wilder 2 yard rush (Garo Yepremian kick),7,7
2,2.0,Buccaneers,Garo Yepremian 44 yard field goal,10,7
3,2.0,Chiefs,Nick Lowery 20 yard field goal,10,10
4,3.0,Chiefs,Nick Lowery 20 yard field goal,10,13
5,4.0,Chiefs,Nick Lowery 42 yard field goal,10,16
6,4.0,Chiefs,Nick Lowery 41 yard field goal,10,19
