,Quarter,Time,Tm,Detail,TEN,OAK
0,1.0,7:49,Raiders,DeAndre Washington 14 yard rush (Daniel Carlson kick),0,7
1,1.0,3:27,Titans,Derrick Henry 12 yard rush (Ryan Succop kick),7,7
2,2.0,14:16,Titans,A.J. Brown 91 yard pass from Ryan Tannehill (Ryan Succop kick),14,7
3,2.0,10:50,Raiders,Rico Gafford 49 yard pass from Derek Carr (Daniel Carlson kick),14,14
4,2.0,6:58,Titans,A.J. Brown 16 yard pass from Ryan Tannehill (Ryan Succop kick),21,14
5,2.0,0:28,Raiders,Foster Moreau 1 yard pass from Derek Carr (Daniel Carlson kick),21,21
6,3.0,5:40,Titans,Derrick Henry 10 yard rush (Ryan Succop kick),28,21
7,4.0,14:36,Titans,Jonnu Smith 17 yard pass from Ryan Tannehill (Ryan Succop kick),35,21
8,4.0,13:25,Titans,Jayon Brown 47 yard fumble return (Ryan Succop kick),42,21
