,Quarter,Time,Tm,Detail,STL,TAM
0,1.0,5:22,Buccaneers,Connor Barth 29 yard field goal,0,3
1,2.0,11:46,Rams,Janoris Jenkins 41 yard interception return (Greg Zuerlein kick),7,3
2,2.0,5:56,Buccaneers,Connor Barth 49 yard field goal,7,6
3,2.0,0:32,Rams,Steven Jackson 5 yard rush (Greg Zuerlein kick),14,6
4,3.0,14:46,Rams,Lance Kendricks 80 yard pass from Sam Bradford (Greg Zuerlein kick),21,6
5,3.0,10:47,Rams,Austin Pettis 5 yard pass from Sam Bradford (Greg Zuerlein kick),28,6
6,3.0,8:50,Buccaneers,Mike Williams 61 yard pass from Josh Freeman (Connor Barth kick),28,13
