,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,11:51,Broncos,Andre Caldwell 15 yard pass from Peyton Manning (Matt Prater kick),0,7
1,1.0,5:15,Chargers,Nick Novak 38 yard field goal,3,7
2,1.0,1:22,Broncos,Matt Prater 32 yard field goal,3,10
3,2.0,9:46,Chargers,Keenan Allen 19 yard pass from Philip Rivers (Nick Novak kick),10,10
4,2.0,1:05,Chargers,Keenan Allen 10 yard pass from Philip Rivers (Nick Novak kick),17,10
5,3.0,11:06,Chargers,Ryan Mathews 23 yard rush (Nick Novak kick),24,10
6,4.0,10:25,Broncos,Andre Caldwell 5 yard pass from Peyton Manning (Matt Prater kick),24,17
7,4.0,2:36,Chargers,Nick Novak 35 yard field goal,27,17
8,4.0,0:29,Broncos,Matt Prater 42 yard field goal,27,20
