,Quarter,Tm,Detail,ATL,BAL
0,1.0,Colts,Tom Matte 88 yard pass from Johnny Unitas (Lou Michaels kick),0,7
1,1.0,Falcons,Ron Smith 99 yard kickoff return (Wade Traynham kick),7,7
2,1.0,Colts,Lou Michaels 16 yard field goal,7,10
3,2.0,Colts,Jimmy Orr 55 yard pass from Johnny Unitas (Lou Michaels kick),7,17
4,2.0,Colts,Bobby Boyd 30 yard interception return (Lou Michaels kick),7,24
5,2.0,Colts,Tony Lorick 3 yard rush (Lou Michaels kick),7,31
6,3.0,Falcons,Taz Anderson 21 yard pass from Randy Johnson (Wade Traynham kick),14,31
7,3.0,Falcons,Wade Traynham 48 yard field goal,17,31
8,4.0,Falcons,Lee Calland 77 yard interception return (Wade Traynham kick),24,31
9,4.0,Colts,Tom Matte 10 yard rush (Lou Michaels kick),24,38
10,4.0,Falcons,Randy Johnson 17 yard rush (Wade Traynham kick),31,38
