,Quarter,Tm,Detail,RAM,CRD
0,1.0,Cardinals,Mal Kutner 26 yard pass from Ray Mallouf (Pat Harder kick),0,7
1,2.0,Cardinals,Pat Harder 27 yard field goal,0,10
2,2.0,Rams,Tom Fears 80 yard pass from Bob Waterfield (Bob Waterfield kick),7,10
3,2.0,Cardinals,Charley Trippi 4 yard rush (Pat Harder kick),7,17
4,2.0,Rams,Don Currivan 58 yard pass from Bob Waterfield (Bob Waterfield kick),14,17
5,2.0,Rams,Bob Waterfield 40 yard field goal,17,17
6,3.0,Cardinals,Pat Harder 20 yard field goal,17,20
7,4.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),17,27
8,4.0,Rams,Tom Fears 16 yard pass from Jim Hardy (Bob Waterfield kick),24,27
