,Quarter,Tm,Detail,HOU,KAN
0,1.0,Chiefs,Nick Lowery 31 yard field goal,0,3
1,1.0,Chiefs,James Saxon 4 yard rush (Nick Lowery kick),0,10
2,2.0,Chiefs,Nick Lowery 34 yard field goal,0,13
3,2.0,Chiefs,J.C. Pearson 1 yard blocked punt return (Nick Lowery kick),0,20
4,3.0,Chiefs,Jonathan Hayes 7 yard pass from Steve DeBerg (Nick Lowery kick),0,27
5,4.0,Chiefs,Christian Okoye 17 yard rush (Nick Lowery kick),0,34
