,Quarter,Tm,Detail,CIN,MIA
0,1.0,Dolphins,Paul Warfield 13 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,1.0,Bengals,Horst Muhlmann 24 yard field goal,3,7
2,1.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),3,14
3,2.0,Dolphins,Mercury Morris 4 yard rush (Garo Yepremian kick),3,21
4,2.0,Bengals,Neal Craig 45 yard interception return (Horst Muhlmann kick),10,21
5,2.0,Bengals,Horst Muhlmann 46 yard field goal,13,21
6,2.0,Bengals,Horst Muhlmann 12 yard field goal,16,21
7,3.0,Dolphins,Jim Mandich 7 yard pass from Bob Griese (Garo Yepremian kick),16,28
8,3.0,Dolphins,Garo Yepremian 50 yard field goal,16,31
9,4.0,Dolphins,Garo Yepremian 46 yard field goal,16,34
