,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Mike Lansford 25 yard field goal,0,3
1,2.0,Rams,Mike Lansford 27 yard field goal,0,6
2,2.0,Bears,Kevin Butler 39 yard field goal,3,6
3,3.0,Rams,Henry Ellard 31 yard pass from Jim Everett (Mike Lansford kick),3,13
4,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),3,20
5,4.0,Rams,Mike Lansford 22 yard field goal,3,23
