,Quarter,Time,Tm,Detail,DAL,OAK
0,1.0,6:16,Raiders,Jerry Rice 5 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,2.0,14:09,Raiders,Zack Crockett 3 yard rush (Sebastian Janikowski kick),0,14
2,2.0,13:52,Cowboys,Joey Galloway 40 yard pass from Anthony Wright (Tim Seder kick),7,14
3,2.0,10:13,Raiders,Tyrone Wheatley 4 yard rush (Sebastian Janikowski kick),7,21
4,3.0,5:11,Raiders,Tyrone Wheatley 1 yard rush (Sebastian Janikowski kick),7,28
5,3.0,0:42,Cowboys,Tim Seder 8 yard rush (Tim Seder kick),14,28
6,4.0,1:21,Cowboys,Darrin Chiaverini 3 yard pass from Anthony Wright (Tim Seder kick),21,28
