,Quarter,Time,Tm,Detail,SEA,DEN
0,1.0,,Broncos,Shannon Sharpe 1 yard pass from John Elway (Jason Elam kick),0,7
1,1.0,,Seahawks,Mike Pritchard 8 yard pass from Rick Mirer (Todd Peterson kick),7,7
2,1.0,,Broncos,John Elway 2 yard rush (Jason Elam kick),7,14
3,2.0,,Broncos,Jason Elam 44 yard field goal,7,17
4,2.0,,Broncos,Jason Elam 18 yard field goal,7,20
5,2.0,,Broncos,Ed McCaffrey 4 yard pass from John Elway (Jason Elam kick),7,27
6,3.0,,Broncos,Terrell Davis 5 yard rush (Jason Elam kick),7,34
