,Quarter,Time,Tm,Detail,JAX,SEA
0,1.0,9:12,Jaguars,Mike Hollis 32 yard field goal,3,0
1,1.0,6:11,Seahawks,Itula Mili 1 yard pass from Trent Dilfer (Rian Lindell kick),3,7
2,1.0,2:06,Seahawks,Shaun Alexander 14 yard rush (Rian Lindell kick),3,14
3,2.0,8:41,Jaguars,Mike Hollis 48 yard field goal,6,14
4,2.0,8:19,Jaguars,Elvis Joseph 18 yard pass from Mark Brunell (run failed),12,14
5,2.0,5:06,Seahawks,Shaun Alexander 3 yard rush (Rian Lindell kick),12,21
6,3.0,9:26,Jaguars,Mike Hollis 48 yard field goal,15,21
7,4.0,7:39,Seahawks,Rian Lindell 25 yard field goal,15,24
