,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Hank Soar 3 yard rush (Hank Soar kick),0,7
1,1.0,Giants,Len Barnum 47 yard field goal,0,10
2,2.0,Giants,Tuffy Leemans 8 yard pass from Len Barnum (Len Barnum kick),0,17
3,2.0,Cardinals,Marshall Goldberg 3 yard rush (George Faust kick),7,17
