,Quarter,Tm,Detail,DET,BAL
0,2.0,Colts,Lou Michaels 12 yard field goal,0,3
1,2.0,Lions,Bill Triplett 22 yard rush (Errol Mann kick),7,3
2,2.0,Lions,John Wright 22 yard special teams fumble return (Errol Mann kick),14,3
3,3.0,Colts,Terry Cole 18 yard pass from Earl Morrall (Lou Michaels kick),14,10
4,4.0,Colts,Eddie Hinton 32 yard pass from Earl Morrall (Lou Michaels kick),14,17
5,4.0,Lions,Errol Mann 12 yard field goal,17,17
