,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Steve Holden 41 yard pass from Mike Phipps (Don Cockroft kick),7,0
1,2.0,Oilers,Mack Alston 7 yard pass from Dan Pastorini (Skip Butler kick),7,7
2,3.0,Oilers,Billy Johnson 6 yard pass from Dan Pastorini (Skip Butler kick),7,14
3,3.0,Browns,Greg Pruitt 4 yard rush (Don Cockroft kick),14,14
4,3.0,Browns,Don Cockroft 37 yard field goal,17,14
5,3.0,Oilers,Fred Willis 5 yard rush (Skip Butler kick),17,21
6,4.0,Oilers,Willie Rodgers 20 yard rush (Skip Butler kick),17,28
7,4.0,Browns,Fair Hooker 9 yard pass from Mike Phipps (Don Cockroft kick),24,28
