,Quarter,Tm,Detail,WAS,CHI
0,1.0,Bears,Calvin Thomas 2 yard rush (Kevin Butler kick),0,7
1,2.0,Bears,Ron Morris 14 yard pass from Jim McMahon (Kevin Butler kick),0,14
2,2.0,Redskins,George Rogers 3 yard rush (Ali Haji-Sheikh kick),7,14
3,2.0,Redskins,Clint Didier 18 yard pass from Doug Williams (Ali Haji-Sheikh kick),14,14
4,3.0,Redskins,Darrell Green 52 yard punt return (Ali Haji-Sheikh kick),21,14
5,3.0,Bears,Kevin Butler 25 yard field goal,21,17
