,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Sam Baker 23 yard field goal,0,3
1,1.0,Cowboys,Dan Reeves 2 yard pass from Don Meredith (Mike Clark kick),7,3
2,2.0,Cowboys,Lance Rentzel 11 yard pass from Don Meredith (Mike Clark kick),14,3
3,2.0,Eagles,Gary Ballman 18 yard pass from King Hill (Sam Baker kick),14,10
4,2.0,Eagles,Sam Baker 13 yard field goal,14,13
5,3.0,Cowboys,Bob Hayes 44 yard pass from Don Meredith (Mike Clark kick),21,13
6,3.0,Cowboys,Don Perkins 10 yard pass from Don Meredith (Mike Clark kick),28,13
7,4.0,Cowboys,Mike Clark 26 yard field goal,31,13
8,4.0,Cowboys,Lance Rentzel 8 yard pass from Don Meredith (Mike Clark kick),38,13
9,4.0,Cowboys,Craig Morton 4 yard rush (Mike Clark kick),45,13
