,Quarter,Tm,Detail,KAN,BAL
0,1.0,Chiefs,Ted McKnight 4 yard rush (Jan Stenerud kick),7,0
1,1.0,Colts,Joe Washington 43 yard pass from Greg Landry (Steve Mike-Mayer kick),7,7
2,4.0,Chiefs,Jan Stenerud 43 yard field goal,10,7
