,Quarter,Time,Tm,Detail,BAL,NYJ
0,1,13:01,Jets,Fred Baxter 13 yard pass from Neil O'Donnell (John Hall kick),0,7
1,1,13:01,Ravens,Matt Stover 41 yard field goal,3,7
2,1,13:01,Ravens,Matt Stover 22 yard field goal,6,7
3,2,13:01,Jets,John Hall 28 yard field goal,6,10
4,2,13:01,Ravens,Matt Stover 24 yard field goal,9,10
5,3,13:01,Jets,John Hall 33 yard field goal,9,13
6,4,13:01,Jets,John Hall 31 yard field goal,9,16
7,4,13:01,Ravens,Derrick Alexander 16 yard pass from Vinny Testaverde (Matt Stover kick),16,16
8,OT,13:01,Jets,John Hall 37 yard field goal,16,19
