,Quarter,Tm,Detail,HOU,STL
0,1.0,Cardinals,Pat Tilley 12 yard pass from Neil Lomax (Neil O'Donoghue kick),0,7
1,1.0,Cardinals,Neil O'Donoghue 30 yard field goal,0,10
2,2.0,Oilers,Tony Zendejas 39 yard field goal,3,10
3,2.0,Oilers,Tony Zendejas 38 yard field goal,6,10
4,4.0,Oilers,Drew Hill 37 yard pass from Warren Moon (Tony Zendejas kick),13,10
5,4.0,Oilers,Mike Akiu 20 yard blocked punt return (Tony Zendejas kick),20,10
