,Quarter,Tm,Detail,COL,AKR
0,1.0,Pros,Carl Cramer unknown yard rush (Paul Sheeks kick),0,7
1,1.0,Pros,Scotty Bierce 15 yard pass from Bunny Corcoran (Paul Sheeks kick),0,14
2,1.0,Pros,Paul Sheeks 35 yard field goal,0,17
3,1.0,Pros,Walt LeJeune unknown yard rush,0,23
4,1.0,Pros,Carl Cramer unknown yard rush,0,29
5,1.0,Pros,interception in end zone (Paul Sheeks kick),0,36
