,Quarter,Tm,Detail,DUL,CRD
0,2.0,Kelleys,Mickey MacDonnell 25 yard pass from Wally Gilbert,6,0
1,4.0,Cardinals,Hal Erickson 40 yard pass from Red Dunn (Paddy Driscoll kick),6,7
2,4.0,Cardinals,Paddy Driscoll 38 yard field goal,6,10
