,Quarter,Tm,Detail,NYJ,HOU
0,1.0,Jets,Marion Barber Jr. 12 yard rush (Pat Leahy kick),7,0
1,1.0,Jets,Pat Leahy 19 yard field goal,10,0
2,2.0,Jets,Pat Leahy 26 yard field goal,13,0
3,2.0,Oilers,Tim Smith 5 yard pass from Warren Moon (Joe Cooper kick),13,7
4,2.0,Oilers,Joe Cooper 44 yard field goal,13,10
5,3.0,Oilers,Tim Smith 14 yard pass from Warren Moon (Joe Cooper kick),13,17
6,3.0,Oilers,Herkie Walls 10 yard pass from Warren Moon (Joe Cooper kick),13,24
7,4.0,Oilers,Larry Moriarty 51 yard rush (Joe Cooper kick),13,31
8,4.0,Jets,Tony Paige 3 yard rush (Pat Leahy kick),20,31
