,Quarter,Tm,Detail,KAN,PRV
0,1.0,Cowboys,Charley Hill 10 yard rush (Al Bloodgood kick),7,0
1,2.0,Cowboys,Al Bloodgood 24 yard rush,13,0
2,3.0,Cowboys,Al Bloodgood 32 yard field goal,16,0
3,3.0,Cowboys,Al Bloodgood 44 yard field goal,19,0
4,4.0,Cowboys,Al Bloodgood 30 yard field goal,22,0
