,Quarter,Time,Tm,Detail,CHI,SEA
0,1.0,10:24,Seahawks,Julius Jones 39 yard pass from Seneca Wallace (Olindo Mare kick),0,7
1,1.0,0:40,Seahawks,Olindo Mare 46 yard field goal,0,10
2,2.0,12:02,Seahawks,Olindo Mare 37 yard field goal,0,13
3,2.0,1:56,Bears,Greg Olsen 1 yard pass from Jay Cutler (Robbie Gould kick),7,13
4,3.0,11:28,Bears,Johnny Knox 7 yard pass from Jay Cutler (Robbie Gould kick),14,13
5,3.0,5:31,Bears,Robbie Gould 37 yard field goal,17,13
6,4.0,14:48,Seahawks,Olindo Mare 39 yard field goal,17,16
7,4.0,5:12,Seahawks,Olindo Mare 46 yard field goal,17,19
8,4.0,1:52,Bears,Devin Hester 36 yard pass from Jay Cutler (Earl Bennett pass from Jay Cutler ),25,19
