,Quarter,Tm,Detail,CIN,MIA
0,1.0,Dolphins,Duriel Harris 3 yard pass from Don Strock (Garo Yepremian kick),0,7
1,2.0,Dolphins,Jimmy Cefalo 27 yard pass from Don Strock (Garo Yepremian kick),0,14
2,2.0,Dolphins,Bob Baumhower 13 yard defensive fumble return (Garo Yepremian kick),0,21
