,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Frank Clarke 14 yard pass from Don Meredith,0,6
1,1.0,Cardinals,Jim Bakken 37 yard field goal,3,6
2,2.0,Cardinals,Sonny Randle 40 yard pass from Charley Johnson (Jim Bakken kick),10,6
3,3.0,Cardinals,Jim Bakken 41 yard field goal,13,6
4,4.0,Cardinals,Jim Bakken 32 yard field goal,16,6
