,Quarter,Time,Tm,Detail,STL,PIT
0,1.0,,Steelers,Jerome Bettis 3 yard rush (Norm Johnson kick),0,7
1,1.0,4:00,Steelers,Jerome Bettis 50 yard rush (Norm Johnson kick),0,14
2,2.0,4:00,Rams,Chip Lohmiller 25 yard field goal,3,14
3,2.0,4:00,Steelers,Kordell Stewart 7 yard rush (Norm Johnson kick),3,21
4,3.0,4:00,Rams,Chip Lohmiller 27 yard field goal,6,21
5,3.0,5:24,Steelers,Erric Pegram 91 yard kickoff return (Norm Johnson kick),6,28
6,3.0,5:24,Steelers,Kordell Stewart 2 yard rush (Norm Johnson kick),6,35
7,4.0,5:24,Steelers,Erric Pegram 17 yard rush (Norm Johnson kick),6,42
