,Quarter,Tm,Detail,LOU,CHI
0,1.0,Bears,Bill Senn unknown yard rush (Paddy Driscoll kick),0,7
1,2.0,Bears,Laurie Walquist unknown yard rush,0,13
2,2.0,Bears,Paddy Driscoll unknown yard rush (Paddy Driscoll kick),0,20
3,3.0,Bears,Laurie Walquist unknown yard pass from Paddy Driscoll (Milt Romney pass from Paddy Driscoll),0,27
4,4.0,Bears,Bill Senn unknown yard rush (Bill Senn kick),0,34
