,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Ricky Patton 31 yard pass from Joe Montana (Matt Bahr kick),0,7
1,2.0,49ers,Freddie Solomon 46 yard pass from Joe Montana (Matt Bahr kick),0,14
2,2.0,Bears,Walter Payton 2 yard rush (Bob Thomas kick),7,14
3,2.0,Bears,Bob Thomas 37 yard field goal,10,14
4,3.0,Bears,Robin Earl 12 yard pass from Vince Evans (Bob Thomas kick),17,14
5,3.0,49ers,Charle Young 5 yard pass from Joe Montana (Matt Bahr kick),17,21
6,4.0,49ers,Ricky Patton 12 yard rush (Matt Bahr kick),17,28
