,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,13:18,Eagles,DeSean Jackson 9 yard rush (David Akers kick),0,7
1,1.0,8:21,Giants,Plaxico Burress 17 yard pass from Eli Manning (John Carney kick),7,7
2,1.0,6:45,Giants,John Carney 27 yard field goal,10,7
3,2.0,14:55,Giants,Kevin Boss 1 yard pass from Eli Manning (John Carney kick),17,7
4,2.0,4:01,Eagles,Jason Avant 10 yard pass from Donovan McNabb (David Akers kick),17,14
5,2.0,1:49,Giants,John Carney 26 yard field goal,20,14
6,2.0,0:00,Eagles,David Akers 29 yard field goal,20,17
7,3.0,11:24,Eagles,Hank Baskett 7 yard pass from Donovan McNabb (David Akers kick),20,24
8,3.0,5:56,Giants,Brandon Jacobs 3 yard rush (John Carney kick),27,24
9,4.0,13:28,Giants,John Carney 28 yard field goal,30,24
10,4.0,9:30,Giants,Brandon Jacobs 3 yard rush (pass failed),36,24
11,4.0,5:30,Eagles,Kevin Curtis 2 yard pass from Donovan McNabb (David Akers kick),36,31
