,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,11:18,Rams,Ricky Proehl 31 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
1,2.0,13:09,Rams,Jeff Wilkins 24 yard field goal,10,0
2,2.0,2:31,Cardinals,Frank Sanders 8 yard pass from Jake Plummer (Bill Gramatica kick),10,7
3,2.0,0:53,Rams,Torry Holt 7 yard pass from Marc Bulger (Jeff Wilkins kick),17,7
4,4.0,10:36,Cardinals,Justin Lucas 35 yard interception return (Bill Gramatica kick),17,14
5,4.0,3:46,Rams,Jeff Wilkins 42 yard field goal,20,14
6,4.0,1:53,Rams,Marshall Faulk 13 yard rush (Jeff Wilkins kick),27,14
