,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Joe Geri 22 yard field goal,0,3
1,2.0,Steelers,Jerry Shipkey 20 yard interception return (Joe Geri kick),0,10
2,2.0,Eagles,Bobby Walston 26 yard pass from Adrian Burk (Bobby Walston kick),7,10
3,2.0,Eagles,Pete Pihos 12 yard pass from Adrian Burk (Bobby Walston kick),14,10
4,3.0,Steelers,Joe Geri 40 yard field goal,14,13
5,3.0,Eagles,Steve Van Buren 2 yard rush,20,13
6,3.0,Eagles,Gerry Cowhig 25 yard fumble return (Bobby Walston kick),27,13
7,4.0,Eagles,Dan Sandifer 30 yard pass from Adrian Burk (Bobby Walston kick),34,13
