,Quarter,Tm,Detail,WAS,BUF
0,1.0,Redskins,Ali Haji-Sheikh 30 yard field goal,3,0
1,2.0,Redskins,Kelvin Bryant 12 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),10,0
2,2.0,Redskins,Jay Schroeder 13 yard rush (Ali Haji-Sheikh kick),17,0
3,3.0,Redskins,Kelvin Bryant 7 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),24,0
4,3.0,Redskins,Ali Haji-Sheikh 33 yard field goal,27,0
5,4.0,Bills,Andre Reed 17 yard pass from Jim Kelly (Scott Norwood kick),27,7
